iata,name,city,state,country
LPO,La Porte Municipal Airport,La Porte,Indiana,US
PQI,Presque Isle International Airport,Presque Isle,Maine,US
PGL,Trent Lott International Airport,Pascagoula,Mississippi,US
PRB,Paso Robles Municipal Airport,Paso Robles,California,US
PRC,Prescott Regional - Ernest A Love Field,Prescott,Arizona,US
PRO,Perry Municipal Airport,Perry,Iowa,US
PRX,Cox Field,Paris,Texas,US
PSB,Mid-State Airport,Philipsburg,Pennsylvania,US
PSC,Tri-Cities Airport,Pasco,Washington,US
PSF,Pittsfield Municipal Airport,Pittsfield,Massachusetts,US
PSK,New River Valley Airport,Dublin,Virginia,US
PSM,Portsmouth International At Pease Airport,Portsmouth,New Hampshire,US
PSN,Palestine Municipal Airport,Palestine,Texas,US
PGO,Stevens Field,Pagosa Springs,Colorado,US
PSP,Palm Springs International Airport,Palm Springs,California,US
PSX,Palacios Municipal Airport,Palacios,Texas,US
PTB,Tri Cities Executive/Dinwiddie County Airport,Petersburg,Virginia,US
PTK,Oakland County International Airport,Pontiac,Michigan,US
PTN,Harry P Williams Memorial Airport,Patterson,Louisiana,US
PTS,Atkinson Municipal Airport,Pittsburg,Kansas,US
PTT,Pratt Regional Airport,Pratt,Kansas,US
PTV,Porterville Municipal Airport,Porterville,California,US
PTW,Heritage Field,Pottstown,Pennsylvania,US
PUB,Pueblo Memorial Airport,Pueblo,Colorado,US
PUC,Carbon County Regional/Buck Davis Field,Price,Utah,US
PUW,Pullman/Moscow Regional Airport,Pullman/Moscow,Washington,US
PVC,Provincetown Municipal Airport,Provincetown,Massachusetts,US
PVD,Rhode Island Tf Green International Airport,Providence,Rhode Island,US
PVF,Placerville Airport,Placerville,California,US
PVU,Provo Municipal Airport,Provo,Utah,US
PVW,Hale County Airport,Plainview,Texas,US
PWA,Wiley Post Airport,Oklahoma City,Oklahoma,US
PWD,Sher-Wood Airport,Plentywood,Montana,US
PWK,Chicago Executive Airport,Chicago/Prospect Heights/Wheeling,Illinois,US
PWM,Portland International Jetport Airport,Portland,Maine,US
PWT,Bremerton Ntl Airport,Bremerton,Washington,US
PYM,Plymouth Municipal Airport,Plymouth,Massachusetts,US
RAC,Batten International Airport,Racine,Wisconsin,US
RAL,Riverside Municipal Airport,Riverside,California,US
RAP,Rapid City Regional Airport,Rapid City,South Dakota,US
RBD,Dallas Executive Airport,Dallas,Texas,US
RBG,Roseburg Regional Airport,Roseburg,Oregon,US
RBL,Red Bluff Municipal Airport,Red Bluff,California,US
RBW,Lowcountry Regional Airport,Walterboro,South Carolina,US
RCA,Ellsworth Afb Airport,Rapid City,South Dakota,US
RCK,H H Coffield Regional Airport,Rockdale,Texas,US
RCR,Fulton County Airport,Rochester,Indiana,US
RCT,Nartron Field,Reed City,Michigan,US
RDD,Redding Regional Airport,Redding,California,US
RDG,Reading Regional/Carl A Spaatz Field,Reading,Pennsylvania,US
RDM,Roberts Field,Redmond,Oregon,US
RDR,Grand Forks Afb Airport,Grand Forks,North Dakota,US
RDU,Raleigh-Durham International Airport,Raleigh/Durham,North Carolina,US
RDV,Red Devil Airport,Red Devil,Alaska,US
REO,Rome State Airport,Rome,Oregon,US
RFD,Chicago/Rockford International Airport,Chicago/Rockford,Illinois,US
RFG,Rooke Field,Refugio,Texas,US
RHI,Rhinelander/Oneida County Airport,Rhinelander,Wisconsin,US
RHV,Reid-Hillview Of Santa Clara County Airport,San Jose,California,US
RIC,Richmond International Airport,Richmond,Virginia,US
RID,Richmond Municipal Airport,Richmond,Indiana,US
RIF,Richfield Municipal Airport,Richfield,Utah,US
RIL,Rifle Garfield County Airport,Rifle,Colorado,US
RIR,Flabob Airport,Riverside/Rubidoux/,California,US
RIV,March Arb Airport,Riverside,California,US
RIW,Central Wyoming Regional Airport,Riverton,Wyoming,US
RKD,Knox County Regional Airport,Rockland,Maine,US
RKP,Aransas County Airport,Rockport,Texas,US
RKR,Robert S Kerr Airport,Poteau,Oklahoma,US
RKS,Southwest Wyoming Regional Airport,Rock Springs,Wyoming,US
RKW,Rockwood Municipal Airport,Rockwood,Tennessee,US
RLD,Richland Airport,Richland,Washington,US
RME,Griffiss International Airport,Rome,New York,US
RMG,Richard B Russell Regional - J H Towers Field,Rome,Georgia,US
RNC,Warren County Memorial Airport,Mc Minnville,Tennessee,US
RND,Randolph Afb Airport,Universal City,Texas,US
